name,id,smiles,atc,atc_name_1,atc_name_2,atc_name_3,atc_name_4,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,Lipinski,QED,stereo_centers,tpsa
"1,2-Benzodiazepine",DB12537,C1=Cc2ccccc2NN=C1,,,,,,0.7549732685089111,0.9882773637771608,0.9056968927383424,0.9825063705444336,0.3893027484416961,0.1101231023669242,0.078566737473011,0.2805559486150741,0.3158335909247398,0.2398596435785293,0.4772950768470764,0.1895927846431732,0.0228491915389895,0.8014996170997619,0.9999980688095093,0.0094495766796171,0.024737087264657,0.9390719175338744,0.2052952706813812,0.009300654195249,0.0822516970336437,0.0089710724074393,0.93972806930542,0.0561413154006004,0.4633174955844879,0.0249953073449432,0.1237341873347759,0.4463743090629578,0.0639386497437954,0.9395445227622986,0.3982359617948532,-4.529648354850723,34.486155217936584,27.77165882995273,-24.15457836322178,-6.88710912130351,2.384354325980026,1.7737553107579174,65.05862092653385,-2.5214576091560703,-5.783741598061894,144.17699999999996,2.1110999999999995,2,1,4.0,0.5921334832741901,0,24.39
"1,2-Distearoyllecithin",DB14099,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,,,,,,0.0157128114253282,0.4118771016597747,0.2028528101742267,0.0072353676427155,0.0386525752488523,0.028175126388669,0.0045103112235665,0.155293869972229,0.0640462048351764,0.7039983034133911,0.2471861951053142,0.132563766092062,0.0005448339245049,0.042196056433022,0.3061604380607605,0.0157882893458008,0.0293774714693427,0.0015338072611484,0.0505471885204315,0.0505953654646873,0.2158032208681106,0.0031332979560829,0.8751955270767212,0.9830815196037292,0.1436824385076761,0.0004176337715762,0.0053668830310925,0.0229118928313255,0.0028618867567274,0.8243777751922607,0.8597198724746704,-5.021186916549411,140.63435835881984,145.6592376812569,41.73977621622728,-5.580808104036608,2.357319949826312,3.6223552425267656,91.86806638023305,-4.864515912690619,7.828266300981383,790.1609999999991,12.172199999999988,8,0,2.0,0.0260053944034776,2,111.19
"1,2-icosapentoyl-sn-glycero-3-phosphoserine",DB14096,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)OC(COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)(O)OCC(N)C(=O)O,,,,,,0.5741199672222137,0.6174968600273132,0.3975133240222931,0.0053688101703301,0.2835900664329528,0.0082211513770744,0.2770532201975584,0.0179294978268444,0.092208457738161,0.674802428483963,0.7217500746250153,0.1775272831320762,0.0455389671260491,0.1445397049188614,0.6135949566960335,0.1266029901802539,0.0672848127782344,0.0072941991384141,0.2520657226443291,0.2091995045542717,0.2714166462421417,0.158320327848196,0.6419954180717469,0.6855125665664673,0.884054708480835,0.0293614881113171,0.112923327833414,0.0278942691162228,0.0245990515686571,0.8080372452735901,0.4397145569324493,-6.023448818842794,76.85439191219166,65.6316417750642,14.884371278912504,-6.992113362398823,1.8138565844648185,2.351277561820103,105.9866382182896,-5.058148589198742,-2.5856110923079187,842.0640000000003,11.220399999999994,9,3,2.0,0.0235170830506975,3,171.68
1-Palmitoyl-2-oleoyl-sn-glycero-3-(phospho-rac-(1-glycerol)),DB11331;DB14095,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,,,,,,0.0316610020585358,0.6007966339588166,0.231856120750308,0.0301014059688895,0.1834634006023407,0.0228876095730811,0.1706745624542236,0.0432189119979739,0.136866109073162,0.6140163958072662,0.4226647198200225,0.0667745195329189,0.0173242106102406,0.1547401562333107,0.980862557888031,0.0524445729330182,0.0555945962667465,0.008874414442107,0.1115864664316177,0.0263745490461587,0.1079328343272209,0.0147683497983962,0.7549476504325867,0.9878685116767884,0.2217291086912155,0.001135918230284,0.0310258273035287,0.0620437193661928,0.0174998261034488,0.5983019590377807,0.7422026872634888,-5.315913781040278,105.14197425303183,145.59508867326642,57.63440453276168,-7.105083367178404,1.5816765248441975,4.497808668391905,115.24816227423712,-6.474748122427037,7.943757622635779,749.0200000000004,10.446999999999992,9,3,2.0,0.0239906879242251,3,148.82
"2,2'-Dibenzothiazyl disulfide",DB14201,c1ccc2sc(SSc3nc4ccccc4s3)nc2c1,,,,,,0.4288192629814148,0.918051278591156,0.7649909973144531,0.9873871088027956,0.9506894230842592,0.2322995334863662,0.700701117515564,0.0305129911750555,0.1059842981398105,0.2961691409349442,0.6168931603431702,0.0778685256838798,0.0117070795036852,0.9747350096702576,0.9999777793884276,0.0427381142973899,0.0270810137502849,0.8053420782089233,0.2393119037151336,0.0514485592022538,0.3297833949327469,0.4163330078125,0.9311798334121704,0.491901421546936,0.8432748913764954,0.1956737831234932,0.8681127786636352,0.7548853635787964,0.2217254430055618,0.883164930343628,0.3061582699418068,-4.795252716351308,84.01274626482243,40.35675555035773,-0.0121682875379566,-5.157119554754389,1.7313003772277398,3.862955010819853,103.29205784403374,-5.487279800315363,-8.38811797756729,332.50000000000006,5.705400000000002,6,0,3.0,0.4490644198756372,0,25.78
2-mercaptobenzothiazole,DB11496,S=c1[nH]c2ccccc2s1,,,,,,0.0777905039489269,0.8736237287521362,0.7943466544151306,0.8766923785209656,0.4583052575588226,0.2752519756555557,0.2060439944267273,0.1288261264562606,0.0321745762601494,0.3381637692451477,0.1583898738026619,0.0828299585729837,0.0285570230334997,0.9388943552970886,0.9999676942825316,0.0335313268005847,0.069645469635725,0.7742363333702087,0.0225017229095101,0.0111839999910444,0.1075238049030304,0.0793188109993934,0.8036067843437195,0.0735429093241691,0.4024690121412277,0.0791061103343963,0.4099344134330749,0.3996917188167572,0.0858564004302024,0.7603614449501037,0.0443266365677118,-4.64779791974341,51.16038079781131,29.42340044100804,12.988378971036845,-8.35297112872162,2.625560583023163,2.5038639510466445,82.1925619584724,-2.8362980818748924,5.665448516069434,167.25799999999998,2.95889,2,1,4.0,0.596342703094106,0,15.79
4-(Isopropylamino)diphenylamine,DB14195,CC(C)Nc1ccc(Nc2ccccc2)cc1,,,,,,0.2329309672117233,0.913718068599701,0.8710026025772095,0.9607343196868896,0.8520907640457154,0.2273590981960296,0.394627046585083,0.4380290567874908,0.4569266468286514,0.5027347445487976,0.3381758272647858,0.4228658318519592,0.0228514149785041,0.6545339345932006,0.9999392032623292,0.0042382410727441,0.014525372814387,0.6278290152549744,0.202006310224533,0.0571417994797229,0.3078405290842056,0.0312442012131214,0.9421555519104003,0.0567098649218678,0.4895646393299103,0.0537827655673027,0.2298345267772674,0.8986286878585815,0.2091859638690948,0.8371897220611573,0.7028135180473327,-4.268079799118337,99.34534949313036,34.25872583406727,84.99207799028258,-6.341118649265911,2.071440933885626,3.069918970136952,91.75153530394516,-4.439686025810478,20.27583394792041,226.323,4.250500000000002,2,2,4.0,0.8139701718558744,0,24.06
5-O-phosphono-alpha-D-ribofuranosyl diphosphate,DB01632,O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]1O,,,,,,0.0020348223573819,0.6743368864059448,0.1158952876925468,0.0043486542463199,0.1438347279676236,0.0439289407309843,0.0037676291904062,0.0190709757454897,0.2080951075884513,0.0877546570554841,2.590851602184488e-05,0.0032462247865623,0.0476275849156081,0.0788242608308792,0.0066412897463123,0.0018695287057198,0.0077903710771352,0.0005793169710614,0.0005946848621988,0.0458857735618948,0.1792329750955104,1.0616265831415313e-05,0.060907839864376,0.0021115545881912,0.0350277349207317,0.000127598811517,8.045607452231707e-05,0.0045392537165753,0.0061740819386614,0.054215102829039,0.1167437715281266,-6.530851489595915,13.309529762155767,17.083478941497344,65.75082875723665,-16.711402622984163,1.4696130357960988,1.131505403066214,48.16997168658804,0.2686884945906166,-1.9680892724414307,390.067,-2.2313,9,7,3.0,0.2281537256555697,5,229.74
Abacavir,DB01048,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,J05AF;J05AR,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,"Antivirals for treatment of HIV infections, combinations;Nucleoside and nucleotide reverse transcriptase inhibitors",0.6460947573184967,0.827959930896759,0.9003134727478027,0.4527793794870376,0.0518743665888905,0.0918605171144008,0.0454249238595366,0.0900165129452943,0.0213140527717769,0.279830676317215,0.2057092845439911,0.094661358743906,0.0913769114762544,0.8764569997787476,0.9999749898910524,0.0206098823808133,0.0249519504606723,0.7048897206783294,0.24246736317873,0.0130676452070474,0.1624154239892959,0.0075598129536956,0.6821420192718506,0.0144586966373026,0.4144480675458908,0.1904782034456729,0.0401662673801183,0.2986634641885757,0.1870585143566131,0.4669526517391205,0.4217836499214172,-5.552575872033928,-0.1003266696014137,-16.206863551090215,1.0139017363769072,-14.30085487571093,2.3826347917520234,1.7894462698946485,62.0160712360565,-2.375598844989092,0.0041493610477886,286.33900000000006,1.0922999999999998,7,3,4.0,0.7272302824304794,2,101.88
Abametapir,DB11932,Cc1ccc(-c2ccc(C)cn2)nc1,P03AX,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS","ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS","ECTOPARASITICIDES, INCL. SCABICIDES","Other ectoparasiticides, incl. scabicides",0.4061539530754089,0.9548835754394532,0.9810482144355774,0.8391282796859741,0.2618511736392975,0.3381203413009643,0.060841105505824,0.218908616900444,0.0032741386530688,0.4291949391365051,0.036083997786045,0.1788148641586303,0.0162816145224496,0.7640640258789062,0.9999443650245666,0.0038968322798609,0.0516493394970893,0.0782545642927289,0.0149709436111152,0.0185551444068551,0.0885190054774284,0.0020793305244296,0.9866403341293336,0.0258970745839178,0.0240250374190509,0.0221224965527653,0.021788521297276,0.0055026681278832,0.0065059878164902,0.5707424074411392,0.0466264060698449,-4.245461340900956,59.31408761672026,54.67292820127717,-13.610644095020902,-5.792783004605044,2.386414582665501,2.2844383470429,63.68736092176327,-2.079895161804445,-2.549306619468038,184.242,2.760440000000001,2,0,4.0,0.680654393103414,0,25.78
